state_code,state_name_english,state_name_local,state_census2011_code,district_code,district_name_english,district_name_local,district_census2011_code,subdistrict_code,subdistrict_name_english,subdistrict_name_local,subdistrict_census2011_code,last_updated
11,Sikkim,"SIKKIM                                            ",11,226,Mangan,Mangan,241,6401,Kabi,Kabi,00000,2024-10-07
29,Karnataka,ಕರ್ನಾಟಕ,29,534,"Dakshina Kannada","ದಕ್ಷಿಣ ಕನ್ನಡ",575,7104,Kadaba,,00000,2024-10-07
33,"Tamil Nadu","TAMIL NADU                                        ",33,584,Salem,"SALEM                                             ",608,6619,Kadayampatti,காடயாம்பட்டி,00000,2024-10-07
36,Telangana,తెలంగాణ,00,680,Nirmal,నిర్మల్,000,4335,"Kaddam Peddur","కడం పెద్దూర్",04335,2024-10-07
24,Gujarat,"GUJARAT                                           ",24,451,Mahesana,"MAHESANA                                          ",471,3759,Kadi,,03759,2024-10-07
6,Haryana,"HARYANA                                           ",06,62,Gurugram,GURUGRAM,086,6422,"Kadipur St",कादीपुर,00000,2024-10-07
5,Uttarakhand,UTTARAKHAND,05,46,Bageshwar,"BAGESHWAR                                         ",063,6332,Kafligair,,00000,2024-10-07
1,"Jammu And Kashmir","JAMMU AND KASHMIR",01,4,Doda,"DODA                                              ",016,6756,Kahara,Kahara,00000,2024-10-07
27,Maharashtra,महाराष्ट्र,27,470,Beed,बीड,523,4222,Kaij,केज,04222,2024-10-07
1,"Jammu And Kashmir","JAMMU AND KASHMIR",01,11,Pulwama,"PULWAMA                                           ",012,6793,Kakapora,Kakapora,00000,2024-10-07
12,"Arunachal Pradesh","ARUNACHAL PRADESH                                 ",12,237,"Papum Pare","PAPUM PARE                                        ",248,6601,"Kakoi Circle","Kakoi Circle",00000,2024-10-07
29,Karnataka,ಕರ್ನಾಟಕ,29,532,Chikkamagaluru,ಚಿಕ್ಕಮಗಳೂರು,570,7194,Kalasa,Kalasa,00000,2024-10-07
28,"Andhra Pradesh","ANDHRA PRADESH                                    ",28,504,Y.S.R.,,551,5207,Kalasapadu,,05207,2024-10-07
6,Haryana,"HARYANA                                           ",06,66,Kaithal,"KAITHAL                                           ",073,6446,Kalayat,कलायत,00000,2024-10-07
29,Karnataka,ಕರ್ನಾಟಕ,29,536,Dharwad,ಧಾರವಾಡ,562,5476,Kalghatgi,ಕಲಘಟಗಿ,05476,2024-10-07
36,Telangana,తెలంగాణ,00,691,Sangareddy,సంగారెడ్డి,000,4453,Kalher,కల్హేర్,04453,2024-10-07
18,Assam,"ASSAM                                             ",18,297,Nagaon,"NAGAON                                            ",305,2031,Kaliabor,,02031,2024-10-07
28,"Andhra Pradesh","ANDHRA PRADESH                                    ",28,748,Eluru,Eluru,000,5017,Kalidindi,,05017,2024-10-07
19,"West Bengal","WEST BENGAL                                       ",19,320,Nadia,"NADIA                                             ",336,2303,Kaliganj,,02303,2024-10-07
28,"Andhra Pradesh","ANDHRA PRADESH                                    ",28,523,"West Godavari","పశ్చిమగోదావరి                                     ",546,4985,Kalla,,04985,2024-10-07
33,"Tamil Nadu","TAMIL NADU                                        ",33,729,Kallakurichi,கள்ளக்குறிச்சி,000,5734,Kallakkurichi,,05734,2024-10-07
33,"Tamil Nadu","TAMIL NADU                                        ",33,578,Madurai,"MADURAI                                           ",623,6615,Kalligudi,,00000,2024-10-07
